Jugador,Ojeador,Partido_Cubierto,Fecha_Informe,Valoraciones,Potencial
9,8,1,2024-09-05,Mediocentro con gran capacidad de recuperación. Pase corto preciso. Puede mejorar el largo.,Medio
4,2,1,2024-11-04,Portero con reflejos excepcionales. Buen manejo del balón con los pies. Liderazgo en el área.,Élite
82,48,1,2024-10-08,Portero con reflejos excepcionales. Buen manejo del balón con los pies. Liderazgo en el área.,Alto
9,18,1,2024-11-14,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Medio
35,15,2,2024-09-23,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Élite
101,9,2,2024-10-01,Delantero con olfato goleador nato. Movimiento sin balón brillante. Fuerza en el área.,Élite
111,7,3,2024-09-15,Portero con reflejos excepcionales. Buen manejo del balón con los pies. Liderazgo en el área.,Élite
48,44,3,2024-10-04,Portero con reflejos excepcionales. Buen manejo del balón con los pies. Liderazgo en el área.,Élite
45,48,3,2024-10-17,Lateral dinámico con buen despliegue físico. Preciso en el centro. Debe mejorar en defensa 1v1.,Alto
111,35,3,2024-09-26,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Generacional
61,38,4,2024-10-04,Mediapunta técnico — con pase entre líneas y disparo potente. Puede ser más consistente.,Alto
55,28,4,2024-09-18,Portero con reflejos excepcionales. Buen manejo del balón con los pies. Liderazgo en el área.,Generacional
106,2,5,2024-10-28,Portero con reflejos excepcionales. Buen manejo del balón con los pies. Liderazgo en el área.,Élite
88,6,5,2024-11-24,Extremo creativo con capacidad de driblar en espacios reducidos. Falta contundencia en el remate.,Alto
71,15,6,2024-10-07,Mediapunta técnico — con pase entre líneas y disparo potente. Puede ser más consistente.,Estable
71,33,6,2024-09-11,Delantero con olfato goleador nato. Movimiento sin balón brillante. Fuerza en el área.,Élite
38,2,7,2024-09-24,Lateral dinámico con buen despliegue físico. Preciso en el centro. Debe mejorar en defensa 1v1.,Generacional
37,36,7,2024-10-27,Extremo creativo con capacidad de driblar en espacios reducidos. Falta contundencia en el remate.,Alto
39,13,7,2024-11-20,Desequilibrante en banda. Velocidad explosiva y buen disparo. Requiere más consistencia.,Alto
41,46,7,2024-11-12,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Élite
99,45,8,2024-09-01,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Bajo
50,35,8,2024-10-06,Lateral dinámico con buen despliegue físico. Preciso en el centro. Debe mejorar en defensa 1v1.,Alto
49,27,8,2024-11-21,Mediocentro con gran capacidad de recuperación. Pase corto preciso. Puede mejorar el largo.,Generacional
53,15,8,2024-10-26,Central dominante en el juego aéreo. Lectura táctica superior a la media. Algo lento en el giro.,Medio
114,38,9,2024-11-11,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Élite
65,18,9,2024-10-23,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Élite
65,52,9,2024-10-01,Desequilibrante en banda. Velocidad explosiva y buen disparo. Requiere más consistencia.,Alto
91,49,10,2024-10-13,Desequilibrante en banda. Velocidad explosiva y buen disparo. Requiere más consistencia.,Estable
91,52,10,2024-10-14,Central dominante en el juego aéreo. Lectura táctica superior a la media. Algo lento en el giro.,Alto
33,45,11,2024-10-06,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Alto
33,28,11,2024-11-11,Portero con reflejos excepcionales. Buen manejo del balón con los pies. Liderazgo en el área.,Bajo
9,18,12,2024-10-09,Excelente en la presión alta — recupera balones con facilidad. Debe mejorar la fase ofensiva.,Medio
5,10,12,2024-10-20,Mediocentro con gran capacidad de recuperación. Pase corto preciso. Puede mejorar el largo.,Élite
9,14,12,2024-10-07,Lateral dinámico con buen despliegue físico. Preciso en el centro. Debe mejorar en defensa 1v1.,Medio
76,7,13,2024-11-22,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Medio
17,6,13,2024-09-16,Gran visión de juego y técnica depurada. Destaca en el uno contra uno.,Alto
76,25,13,2024-10-21,Extremo creativo con capacidad de driblar en espacios reducidos. Falta contundencia en el remate.,Alto
86,23,14,2024-10-27,Extremo creativo con capacidad de driblar en espacios reducidos. Falta contundencia en el remate.,Medio
93,55,14,2024-10-23,Desequilibrante en banda. Velocidad explosiva y buen disparo. Requiere más consistencia.,Generacional
83,39,15,2024-11-01,Portero con reflejos excepcionales. Buen manejo del balón con los pies. Liderazgo en el área.,Alto
83,17,15,2024-09-03,Delantero con olfato goleador nato. Movimiento sin balón brillante. Fuerza en el área.,Élite
83,52,15,2024-09-18,Excelente en la presión alta — recupera balones con facilidad. Debe mejorar la fase ofensiva.,Élite
